"","Date","Away","Home","Actual","OREB_1","OREB_2","OREB_3","OREB_4","OREB_5","OREB_6","OREB_7","OREB_8","OREB_9","OREB_10","OREB_11","OREB_12","OREB_13","OREB_14","OREB_CV"
"71","3/15/2025","New Orleans Pelicans","San Antonio Spurs",NA,22,24,22,27.23,23.4946859792114,21.8660367421655,22.3637605163325,26.32105822,15.095,31.12040622,23.93002615,23,21.80285645,20,27
"72","3/15/2025","Washington Wizards","Denver Nuggets",NA,21,20,20.99719906,15.95,18.6521623388294,20.3265524077404,22.2157130340696,23.84260908,15.045,19.44378596,19.75382177,22,17.05195999,21,28
"73","3/16/2025","Philadelphia 76ers","Dallas Mavericks",NA,21,18,19.99762535,19.75,20.4498059897946,19.4259647802794,20.582420674195,23.93948127,15.1325,22.35386691,21.15144724,21,22.29615593,20,22
"74","3/16/2025","Phoenix Suns","Los Angeles Lakers",NA,18,22,18.9978075,18.14,21.7427162332976,20.0160350966292,18.440770734731,22.72080185,15.15,28.15472155,23.3294839,19,25.25603485,20,17
"75","3/16/2025","Atlanta Hawks","Brooklyn Nets",NA,24,22,24.9960804,21.76,25.1848775951371,24.3684780770726,22.7282760482147,23.65813871,15.095,21.18205571,20.28823488,23,23.91256714,20,25
"76","3/16/2025","Orlando Magic","Cleveland Cavaliers",NA,21,26,20.99719906,17.59,21.5602573989519,22.2541632963514,22.3376548412203,20.58356047,15.115,28.0847969,20.21222867,22,25.53635979,21,19
"77","3/16/2025","Toronto Raptors","Portland Trail Blazers",NA,24,20,23.99638748,22.88,23.3820750746079,21.9159778012815,23.9358448853279,26.39130426,15.0975,19.56422802,26.90765517,24,21.37471008,22,24
"78","3/16/2025","Utah Jazz","Minnesota Timberwolves",NA,23,22,24.9960804,25.4,23.0874964906424,23.8329027743938,23.3273067751709,25.39959974,15.14,25.84337957,20.41360528,23,17.05195999,22,21
"79","3/16/2025","Oklahoma City Thunder","Milwaukee Bucks",NA,19,18,19.99762535,23.75,20.5882140482364,21.7213648681141,19.9303051603495,22.08411456,15.14,27.37029618,22.75497167,20,19.09211349,21,22
"80","3/16/2025","Washington Wizards","Los Angeles Clippers",NA,20,26,19.99738121,20.78,20.1461653224364,21.917251456572,NA,NA,15.08,32.16365999,19.40891448,21,18.34184837,20,22
"81","3/17/2025","Miami Heat","New York Knicks",NA,21,28,21.99701691,17.13,20.0496867365876,21.2368502581274,20.4310216417577,20.83261319,15.17,23.99620502,21.19735293,20,22.03066063,20,15
"82","3/17/2025","Philadelphia 76ers","Houston Rockets",NA,22,18,22.99670029,24.16,23.4189523834904,21.3630998635139,24.506657877131,25.10528414,15.2025,25.90169363,23.55468323,25,21.07006073,21,24
"83","3/17/2025","Indiana Pacers","Minnesota Timberwolves",NA,20,26,20.99731064,19.09,21.434312632661,22.5672783778188,20.2988274935017,20.48225163,15.1425,16.60909789,17.68323324,20,24.06834412,21,20
"84","3/17/2025","Detroit Pistons","New Orleans Pelicans",NA,22,20,23.99639511,20.65,22.0218275635092,23.0170457112306,23.217545031391,23.41323145,15.105,26.93464463,24.83348594,24,25.49656105,22,21
"85","3/17/2025","Orlando Magic","San Antonio Spurs",NA,21,24,20.99719906,19.34,21.6387550628551,21.2060706347751,22.1744175034509,NA,15.085,18.68078078,20.84615355,22,26.94093513,19,18
"86","3/17/2025","Chicago Bulls","Utah Jazz",NA,22,23,22,19.5,21.1639132852737,20.9991618400363,22.0758484329003,21.07591921,15.08,26.16735949,20.12791508,22,18.08349419,20,54
