,Date,Away,Home,Actual,Spread_1,Spread_2,Spread_3,Spread_4,Spread_5,Spread_6,Spread_7,Spread_8,Spread_9,Spread_10,Spread_11,Spread_12,Spread_13,Spread_14,Spread_CV
64,3/14/2025,Sacramento Kings,Phoenix Suns,16,-4,-4.202506065,-3.42,-18.04,0.136149265,-1.860524416,-0.778145723,-2.135066667,-1.39,-1.742972456,0.092953029,NA,-1.197865263,-3,-7
65,3/15/2025,Boston Celtics,Brooklyn Nets,2,-11,-1.80614531,-11.79,-9.77,-4.518515984,-3.429004192,-16.6916314,-10.4041,-7.15,-10.22589452,-13.85613152,NA,-2.740269091,-15,-13
66,3/15/2025,Oklahoma City Thunder,Detroit Pistons,-6,-8,3.944716215,-3.22,6.59,0.129298754,-5.703350544,-8.133332515,-6.800433333,-3.34,0.395073002,-8.236395181,NA,-5.168697477,-10,-6
67,3/15/2025,Chicago Bulls,Houston Rockets,3,6,4.092460155,-7.73,33.44,7.229985163,10.30482864,4.895970389,7.056733333,4,-0.863270297,-3.656878189,NA,-3.914750462,22,17
68,3/15/2025,Miami Heat,Memphis Grizzlies,34,8,3.064654589,15.46349335,2.9,4.476648273,10.51837826,9.658927697,12.79906667,6.63,14.2539649,13.74480298,NA,18.26334341,14,19
69,3/15/2025,Indiana Pacers,Milwaukee Bucks,7,9,1.296902657,3.589874268,10.09,-1.309488183,-2.297472477,4.718862588,3.6269,0.34,3.615957938,2.660276101,NA,-2.713051239,2,11
70,3/15/2025,New York Knicks,Golden State Warriors,3,-4,3.333424568,-3.06,-2.37,3.925039701,0.6081779,-2.573048175,-6.297533333,-0.79,16.42338179,-2.619729015,NA,-2.765299031,3,14
71,3/15/2025,New Orleans Pelicans,San Antonio Spurs,4,8,1.421699286,9.54233551,-8.67,4.869002218,0.912398458,9.36429184,6.115233333,1.97,3.858055254,2.628240219,NA,13.6132899,7,1
72,3/15/2025,Washington Wizards,Denver Nuggets,-3,23,3.812750101,20.14383698,-8.21,12.55960174,12.2332592,15.31718321,18.0602,7.96,22.09116735,18.20673123,NA,15.88716282,19,1
73,3/16/2025,Philadelphia 76ers,Dallas Mavericks,-5,5,0.180818453,5.714988708,-4.06,4.687049324,7.670967102,6.039095422,8.631733333,3.6,5.830365003,0.86641032,NA,7.893250596,4,-9
74,3/16/2025,Phoenix Suns,Los Angeles Lakers,11,7,3.143030405,-0.94,-4.55,9.528103115,9.119482994,6.242625178,7.430933333,1.47,3.895418095,1.524923826,NA,0.265072921,7,-1
75,3/16/2025,Atlanta Hawks,Brooklyn Nets,8,-7,-3.426067352,-13.92,-2.67,2.524791495,-3.972350836,-6.343553046,-5.093666667,-0.44,2.470819745,-14.67606492,NA,-9.975494367,-6,-12
76,3/16/2025,Orlando Magic,Cleveland Cavaliers,-5,16,7.851666451,21.10004425,23.38,10.24662422,9.873654366,14.97543337,14.849,8.4,8.873245774,21.34210595,NA,16.46188853,4,29
