"","Date","Away","Home","Actual","Total_1","Total_2","Total_3","Total_4","Total_5","Total_6","Total_7","Total_8","Total_9","Total_10","Total_11","Total_12","Total_13","Total_14","Total_CV"
"107","3/20/2025","New York Knicks","Charlotte Hornets",213,227,219.389312744141,221.714035,232.77,214.53933476243,210.9141693,221.32885584422,221.2162333,223.43,213.5596131,218.6313687,221,219.9674,203,213
"108","3/20/2025","Brooklyn Nets","Indiana Pacers",204,221,220.845901489258,226.7451248,215.66,222.916377733715,225.8384552,222.488744435876,229.4496,220.74,225.3386482,215.7192265,222,220.5415333,248,213
"109","3/20/2025","Milwaukee Bucks","Golden State Warriors",NA,218,224.051467895508,225.0984116,236.2,230.950292896819,221.4823608,224.651948247774,229.2979333,223.82,223.3524657,216.9099747,232,229.2355333,215,247
"110","3/20/2025","Chicago Bulls","Sacramento Kings",244,242,234.119888305664,234.5617447,237.22,237.764938493419,228.9977417,238.706864196318,242.1864,233.36,267.748048,219.260379,226,236.2296667,221,236
"111","3/21/2025","Orlando Magic","Washington Wizards",225,208,214.488632202148,213.9619446,217.5,219.032351132834,208.7919617,216.380335187071,228.5144667,211.44,216.3435664,212.8477215,225,211.1037333,225,210
"112","3/21/2025","Houston Rockets","Miami Heat",200,212,221.760330200195,226.356163,213.58,219.410670165141,220.0724182,217.68134211153,229.2537333,222.79,210.6446518,206.4812737,228,226.4407667,230,209
"113","3/21/2025","New Orleans Pelicans","Minnesota Timberwolves",227,218,225.69401550293,219.5793991,209.05,227.760986061107,230.3253632,223.234274286191,234.3535333,222.32,237.3913295,202.1265208,232,222.3219667,221,215
"114","3/21/2025","Charlotte Hornets","Oklahoma City Thunder",247,217,216.547348022461,225.003418,210.02,217.614750303225,202.4914703,221.257478211262,224.6968,221.69,223.511858,212.5534109,226,224.1466667,231,215
"115","3/21/2025","Philadelphia 76ers","San Antonio Spurs",248,230,222.494262695312,225.5298615,220.93,216.981918867258,223.3987579,223.1499547,231.9779333,221.39,219.6465433,218.7464829,223,224.3690667,257,224
"116","3/21/2025","Detroit Pistons","Dallas Mavericks",240,232,227.205551147461,229.3235855,220.8,233.331750740428,235.5025787,228.620817,236.7079667,229.18,236.9981613,214.4394263,221,231.5019333,194,217
"117","3/21/2025","Boston Celtics","Utah Jazz",220,236,230.952590942383,228.9854813,233.37,227.214731522117,221.0113983,226.224852367775,232.1972667,229,224.6638988,217.3485578,218,228.4206667,228,230
"118","3/21/2025","Cleveland Cavaliers","Phoenix Suns",235,245,233.375534057617,237.3436279,212.08,238.528875090599,231.8797455,231.411470379621,242.6934667,234.67,240.936796,213.1752147,224,236.8862,221,228
"119","3/21/2025","Denver Nuggets","Portland Trail Blazers",237,237,231.062026977539,231.1675034,229.63,229.552858097742,230.7468872,230.763434870598,244.3235667,232.98,251.9540621,210.306767,230,231.5224,228,247
"120","3/21/2025","Memphis Grizzlies","Los Angeles Clippers",236,230,229.15202331543,234.4654236,223.96,237.151827579557,230.0184174,230.512521543746,241.7643,235.69,250.5471097,209.4040618,220,233.1098333,220,235
