Date,Home Team,Visitor Team,Home Score,Visitor Score,Location,Season,Season Type,Spread,Total,Result
10/3/2015,Northwestern,Minnesota,27,0,Visitor,2015-16,Regular,27,27,W
10/3/2015,Tulane,Central Florida,45,31,Visitor,2015-16,Regular,14,76,W
10/3/2015,Boise State,Hawaii,55,0,Visitor,2015-16,Regular,55,55,W
10/3/2015,Utah State,Colorado State,33,18,Visitor,2015-16,Regular,15,51,W
10/3/2015,Akron,Ohio,12,14,Visitor,2015-16,Regular,-2,26,L
10/3/2015,Central Michigan,Northern Illinois,29,19,Visitor,2015-16,Regular,10,48,W
10/3/2015,Buffalo,Bowling Green,22,28,Visitor,2015-16,Regular,-6,50,L
10/3/2015,Navy,Air Force,33,11,Visitor,2015-16,Regular,22,44,W
10/3/2015,Marshall,Old Dominion,27,7,Visitor,2015-16,Regular,20,34,W
10/3/2015,Louisiana Tech,UL Lafayette,43,14,Visitor,2015-16,Regular,29,57,W
10/3/2015,Southern Miss,North Texas,49,14,Visitor,2015-16,Regular,35,63,W
10/3/2015,San Diego State,Fresno State,21,7,Visitor,2015-16,Regular,14,28,W
10/3/2015,Florida,Mississippi,38,10,Visitor,2015-16,Regular,28,48,W
10/3/2015,Texas A&M,Mississippi St,30,17,Visitor,2015-16,Regular,13,47,W
10/3/2015,Stanford,Arizona,55,17,Visitor,2015-16,Regular,38,72,W
