Play,Home Team,Visitor Team,Home Score,Visitor Score,Event Date,Odds,Result,Units Won,Home / Visitor,Season,Season Type
Play On Rice,Baylor,Rice,70,17,9/26/2015,33,L,-100,Visitor,2015-16,Regular
Play On Massachusetts,Notre Dame,Massachusetts,62,27,9/26/2015,28.5,L,-100,Visitor,2015-16,Regular
Play On Miami Ohio,Western Kentucky,Miami Ohio,56,14,9/26/2015,20,L,-100,Visitor,2015-16,Regular
Play On Colorado State,UTSA,Colorado State,31,33,9/26/2015,-8,L,-100,Visitor,2015-16,Regular
Play On Hawaii,Wisconsin,Hawaii,28,0,9/26/2015,24.5,L,-100,Visitor,2015-16,Regular
Play On Idaho State,UNLV,Idaho State,80,8,9/26/2015,11.5,L,-100,Visitor,2015-16,Regular
Play On Fresno State,San Jose State,Fresno State,49,23,9/26/2015,4.5,L,-100,Visitor,2015-16,Regular
Play On Arkansas,Arkansas,Texas A&M,21,28,9/26/2015,6,L,-100,Neutral,2015-16,Regular
Play On Northern Illinois,Boston College,Northern Illinois,17,14,9/26/2015,3,P,0,Visitor,2015-16,Regular
Play On Kansas,Rutgers,Kansas,27,14,9/26/2015,13.5,W,89.3,Visitor,2015-16,Regular
Play On UCLA,Arizona,UCLA,30,56,9/26/2015,1,W,89.3,Visitor,2015-16,Regular
Play On Central Michigan,Michigan State,Central Michigan,30,10,9/26/2015,25,W,89.3,Visitor,2015-16,Regular
Play On Oklahoma State,Texas,Oklahoma State,27,30,9/26/2015,-2.5,W,89.3,Visitor,2015-16,Regular
Play On Akron,UL Lafayette,Akron,14,35,9/26/2015,7.5,W,90.9,Visitor,2015-16,Regular
Play On Nicholls State,Colorado,Nicholls State,48,0,9/26/2015,54,W,90.9,Visitor,2015-16,Regular
Play On Southern,Georgia,Southern,48,6,9/26/2015,49,W,90.9,Visitor,2015-16,Regular
Play On Delaware,North Carolina,Delaware,41,14,9/26/2015,37.5,W,90.9,Visitor,2015-16,Regular
Play On James Madison,SMU,James Madison,45,48,9/26/2015,13,W,90.9,Visitor,2015-16,Regular
Play On Incarnate Word,UTEP,Incarnate Word,27,17,9/26/2015,27,W,90.9,Visitor,2015-16,Regular
Play On Marshall,Kent,Marshall,29,36,9/26/2015,-6.5,W,91.7,Visitor,2015-16,Regular
Play On New Mexico,Wyoming,New Mexico,28,38,9/26/2015,-3.5,W,91.7,Visitor,2015-16,Regular
Play On California,Washington,California,24,30,9/26/2015,-1,W,92.6,Visitor,2015-16,Regular
Play On UL Monroe,Alabama,UL Monroe,34,0,9/26/2015,37.5,W,92.6,Visitor,2015-16,Regular
Play On Indiana,Wake Forest,Indiana,24,31,9/26/2015,-3.5,W,92.6,Visitor,2015-16,Regular
Play On Nevada,Buffalo,Nevada,21,24,9/26/2015,3,W,92.6,Visitor,2015-16,Regular
Play On Bowling Green,Purdue,Bowling Green,28,35,9/26/2015,-4.5,W,93.5,Visitor,2015-16,Regular
Play On NC State,South Alabama,NC State,13,63,9/26/2015,-17.5,W,93.5,Visitor,2015-16,Regular
Play On USC,Arizona State,USC,14,42,9/26/2015,-4,W,94.3,Visitor,2015-16,Regular
Play On Florida Intl,Louisiana Tech,Florida Intl,27,17,9/26/2015,14,W,94.3,Visitor,2015-16,Regular
Play On Appalachian St,Old Dominion,Appalachian St,0,49,9/26/2015,-7.5,W,94.3,Visitor,2015-16,Regular
Play On Ball State,Northwestern,Ball State,24,19,9/26/2015,17.5,W,94.3,Visitor,2015-16,Regular
Play On Texas A&M,Arkansas,Texas A&M,21,28,9/26/2015,-6,W,94.3,Neutral,2015-16,Regular
Play On Georgia Southern,Idaho,Georgia Southern,20,44,9/26/2015,-16,W,95.2,Visitor,2015-16,Regular
Play On Army,Eastern Michigan,Army,36,58,9/26/2015,-2,W,96.2,Visitor,2015-16,Regular
Play On Utah,Oregon,Utah,20,62,9/26/2015,10,W,96.2,Visitor,2015-16,Regular
Play On Navy,Connecticut,Navy,18,28,9/26/2015,-7,W,97.1,Visitor,2015-16,Regular
Play On Vanderbilt,Mississippi,Vanderbilt,27,16,9/26/2015,27,W,98,Visitor,2015-16,Regular
Play On Ohio,Minnesota,Ohio,27,24,9/26/2015,7.5,W,98,Visitor,2015-16,Regular
Play On Mississippi St,Auburn,Mississippi St,9,17,9/26/2015,0,W,100,Visitor,2015-16,Regular
Play On Middle Tenn St,Illinois,Middle Tenn St,27,25,9/26/2015,3,W,100,Visitor,2015-16,Regular
Play On Southern Miss,Nebraska,Southern Miss,36,28,9/26/2015,20.5,W,104,Visitor,2015-16,Regular
Play On Western Michigan,Ohio State,Western Michigan,38,12,9/26/2015,33.5,W,124,Visitor,2015-16,Regular
Play On Miami Florida,Cincinnati,Miami Florida,34,23,10/1/2015,-7.5,L,-100,Visitor,2015-16,Regular
Play On Connecticut,BYU,Connecticut,30,13,10/2/2015,14.5,L,-100,Visitor,2015-16,Regular
Play On Memphis,South Florida,Memphis,17,24,10/2/2015,-7,P,0,Visitor,2015-16,Regular
Play On Florida Intl,Massachusetts,Florida Intl,24,14,10/3/2015,2.5,L,-100,Visitor,2015-16,Regular
Play On South Carolina,Missouri,South Carolina,24,10,10/3/2015,3,L,-100,Visitor,2015-16,Regular
Play On Florida State,Wake Forest,Florida State,16,24,10/3/2015,-19,L,-100,Visitor,2015-16,Regular
Play On Kansas,Iowa State,Kansas,38,13,10/3/2015,20,L,-100,Visitor,2015-16,Regular
Play On West Virginia,Oklahoma,West Virginia,44,24,10/3/2015,6.5,L,-100,Visitor,2015-16,Regular
Play On Texas,TCU,Texas,50,7,10/3/2015,14,L,-100,Visitor,2015-16,Regular
Play On Texas Tech,Baylor,Texas Tech,63,35,10/3/2015,17,L,-100,Neutral,2015-16,Regular
Play On Nebraska,Illinois,Nebraska,14,13,10/3/2015,-3,L,-100,Visitor,2015-16,Regular
Play On Ohio State,Indiana,Ohio State,27,34,10/3/2015,-21.5,L,-100,Visitor,2015-16,Regular
Play On Minnesota,Northwestern,Minnesota,27,0,10/3/2015,4.5,L,-100,Visitor,2015-16,Regular
Play On Central Florida,Tulane,Central Florida,45,31,10/3/2015,-2,L,-100,Visitor,2015-16,Regular
Play On Hawaii,Boise State,Hawaii,55,0,10/3/2015,27.5,L,-100,Visitor,2015-16,Regular
Play On Colorado State,Utah State,Colorado State,33,18,10/3/2015,6,L,-100,Visitor,2015-16,Regular
Play On Ohio,Akron,Ohio,12,14,10/3/2015,-2.5,L,-100,Visitor,2015-16,Regular
Play On Northern Illinois,Central Michigan,Northern Illinois,29,19,10/3/2015,-1,L,-100,Visitor,2015-16,Regular
Play On Bowling Green,Buffalo,Bowling Green,22,28,10/3/2015,-7,L,-100,Visitor,2015-16,Regular
Play On Air Force,Navy,Air Force,33,11,10/3/2015,4.5,L,-100,Visitor,2015-16,Regular
Play On Old Dominion,Marshall,Old Dominion,27,7,10/3/2015,16.5,L,-100,Visitor,2015-16,Regular
Play On UL Lafayette,Louisiana Tech,UL Lafayette,43,14,10/3/2015,14,L,-100,Visitor,2015-16,Regular
Play On North Texas,Southern Miss,North Texas,49,14,10/3/2015,14.5,L,-100,Visitor,2015-16,Regular
Play On Fresno State,San Diego State,Fresno State,21,7,10/3/2015,7.5,L,-100,Visitor,2015-16,Regular
Play On Mississippi,Florida,Mississippi,38,10,10/3/2015,-7,L,-100,Visitor,2015-16,Regular
Play On Mississippi St,Texas A&M,Mississippi St,30,17,10/3/2015,4,L,-100,Visitor,2015-16,Regular
Play On Arizona,Stanford,Arizona,55,17,10/3/2015,12.5,L,-100,Visitor,2015-16,Regular
Play On Eastern Michigan,LSU,Eastern Michigan,44,22,10/3/2015,45,W,84,Visitor,2015-16,Regular
Play On San Jose State,Auburn,San Jose State,35,21,10/3/2015,21.5,W,85.5,Visitor,2015-16,Regular
Play On Oregon,Colorado,Oregon,24,41,10/3/2015,-6.5,W,87,Visitor,2015-16,Regular
Play On Notre Dame,Clemson,Notre Dame,24,22,10/3/2015,3,W,87.7,Visitor,2015-16,Regular
Play On Pittsburgh,Virginia Tech,Pittsburgh,13,17,10/3/2015,3.5,W,87.7,Visitor,2015-16,Regular
Play On Kansas State,Oklahoma State,Kansas State,36,34,10/3/2015,7,W,87.7,Visitor,2015-16,Regular
Play On Idaho,Arkansas State,Idaho,49,35,10/3/2015,21.5,W,90.1,Visitor,2015-16,Regular
Play On Liberty,Georgia State,Liberty,33,41,10/3/2015,-2.5,W,90.9,Visitor,2015-16,Regular
Play On Eastern Kentucky,Kentucky,Eastern Kentucky,34,27,10/3/2015,27.5,W,90.9,Visitor,2015-16,Regular
Play On Boston College,Duke,Boston College,9,7,10/3/2015,4.5,W,90.9,Visitor,2015-16,Regular
Play On UNLV,Nevada,UNLV,17,23,10/3/2015,6,W,90.9,Visitor,2015-16,Regular
Play On Baylor,Baylor,Texas Tech,63,35,10/3/2015,-17,W,92.6,Neutral,2015-16,Regular
Play On Iowa,Wisconsin,Iowa,6,10,10/3/2015,5,W,92.6,Visitor,2015-16,Regular
Play On Purdue,Michigan State,Purdue,24,21,10/3/2015,23,W,92.6,Visitor,2015-16,Regular
Play On South Alabama,Troy,South Alabama,18,24,10/3/2015,6,W,94.3,Visitor,2015-16,Regular
Play On Alabama,Georgia,Alabama,10,38,10/3/2015,1.5,W,94.3,Visitor,2015-16,Regular
Play On North Carolina,Georgia Tech,North Carolina,31,38,10/3/2015,6,W,94.3,Visitor,2015-16,Regular
Play On Washington State,California,Washington State,34,28,10/3/2015,17,W,94.3,Visitor,2015-16,Regular
Play On Army,Penn State,Army,20,14,10/3/2015,25,W,94.3,Visitor,2015-16,Regular
Play On East Carolina,SMU,East Carolina,23,49,10/3/2015,-6,W,94.3,Visitor,2015-16,Regular
Play On Wyoming,Appalachian St,Wyoming,31,13,10/3/2015,26,W,94.3,Visitor,2015-16,Regular
Play On Toledo,Ball State,Toledo,10,24,10/3/2015,-5.5,W,94.3,Visitor,2015-16,Regular
Play On Georgia Southern,UL Monroe,Georgia Southern,31,51,10/3/2015,-5.5,W,94.3,Visitor,2015-16,Regular
Play On Michigan,Maryland,Michigan,0,28,10/3/2015,-14,W,94.3,Visitor,2015-16,Regular
Play On Arizona State,UCLA,Arizona State,23,38,10/3/2015,12.5,W,94.3,Visitor,2015-16,Regular
Play On Houston,Tulsa,Houston,24,38,10/3/2015,-8.5,W,96.2,Visitor,2015-16,Regular
Play On Arkansas,Tennessee,Arkansas,20,24,10/3/2015,5.5,W,98,Visitor,2015-16,Regular
Play On Louisville,NC State,Louisville,13,20,10/3/2015,2.5,W,98,Visitor,2015-16,Regular
Play On Miami Ohio,Kent,Miami Ohio,20,14,10/3/2015,10.5,W,98,Visitor,2015-16,Regular
Play On Western Kentucky,Rice,Western Kentucky,10,49,10/3/2015,-7,W,99,Visitor,2015-16,Regular
Play On Vanderbilt,Middle Tenn St,Vanderbilt,13,17,10/3/2015,2,W,100,Visitor,2015-16,Regular
Play On New Mexico State,New Mexico,New Mexico State,38,29,10/3/2015,10.5,W,100,Visitor,2015-16,Regular
Play On UTSA,UTEP,UTSA,6,25,10/3/2015,-3.5,W,104,Visitor,2015-16,Regular
Play On SMU,Houston,SMU,49,28,10/8/2015,25,W,92.6,Visitor,2015-16,Regular
Play On Washington,USC,Washington,12,17,10/8/2015,17,W,94.3,Visitor,2015-16,Regular
Play On Southern Miss,Marshall,Southern Miss,31,10,10/9/2015,3,L,-100,Visitor,2015-16,Regular
Play On NC State,Virginia Tech,NC State,28,13,10/9/2015,2.5,L,-100,Visitor,2015-16,Regular
Play On New Mexico State,Mississippi,New Mexico State,52,3,10/10/2015,46,L,-100,Visitor,2015-16,Regular
Play On Georgia,Tennessee,Georgia,38,31,10/10/2015,-2.5,L,-100,Visitor,2015-16,Regular
Play On Oregon State,Arizona,Oregon State,44,7,10/10/2015,8,L,-100,Visitor,2015-16,Regular
Play On Colorado,Arizona State,Colorado,48,23,10/10/2015,16.5,L,-100,Visitor,2015-16,Regular
Play On Oklahoma,Texas,Oklahoma,24,17,10/10/2015,-15,L,-100,Neutral,2015-16,Regular
Play On Iowa State,Texas Tech,Iowa State,66,31,10/10/2015,13.5,L,-100,Visitor,2015-16,Regular
Play On Tulane,Temple,Tulane,49,10,10/10/2015,14.5,L,-100,Visitor,2015-16,Regular
Play On Syracuse,South Florida,Syracuse,45,24,10/10/2015,-1.5,L,-100,Visitor,2015-16,Regular
Play On Wisconsin,Nebraska,Wisconsin,21,23,10/10/2015,-2.5,L,-100,Visitor,2015-16,Regular
Play On Middle Tenn St,Western Kentucky,Middle Tenn St,58,28,10/10/2015,7,L,-100,Visitor,2015-16,Regular
Play On UTEP,Florida Intl,UTEP,52,12,10/10/2015,13.5,L,-100,Visitor,2015-16,Regular
Play On Ball State,Northern Illinois,Ball State,59,41,10/10/2015,10.5,L,-100,Visitor,2015-16,Regular
Play On Texas State,UL Lafayette,Texas State,49,27,10/10/2015,4,L,-100,Visitor,2015-16,Regular
Play On Massachusetts,Bowling Green,Massachusetts,62,38,10/10/2015,11.5,L,-100,Visitor,2015-16,Regular
Play On Navy,Notre Dame,Navy,41,24,10/10/2015,14,L,-100,Visitor,2015-16,Regular
Play On Indiana,Penn State,Indiana,29,7,10/10/2015,5,L,-100,Visitor,2015-16,Regular
Play On Miami Ohio,Ohio,Miami Ohio,34,3,10/10/2015,15.5,L,-100,Visitor,2015-16,Regular
Play On Kent,Toledo,Kent,38,7,10/10/2015,16.5,L,-100,Visitor,2015-16,Regular
Play On Northwestern,Michigan,Northwestern,38,0,10/10/2015,10.5,L,-100,Visitor,2015-16,Regular
Play On New Mexico,Nevada,New Mexico,35,17,10/10/2015,4,L,-100,Visitor,2015-16,Regular
Play On Louisiana Tech,UTSA,Louisiana Tech,31,34,10/10/2015,-13,L,-100,Visitor,2015-16,Regular
Play On Michigan State,Rutgers,Michigan State,24,31,10/10/2015,-12,L,-100,Visitor,2015-16,Regular
Play On Georgia Tech,Clemson,Georgia Tech,43,24,10/10/2015,7.5,L,-100,Visitor,2015-16,Regular
Play On TCU,Kansas State,TCU,45,52,10/10/2015,-8.5,L,-100,Visitor,2015-16,Regular
Play On South Carolina,LSU,South Carolina,45,24,10/10/2015,20.5,L,-100,Visitor,2015-16,Regular
Play On UL Monroe,Tulsa,UL Monroe,34,24,10/10/2015,10,P,0,Visitor,2015-16,Regular
Play On Minnesota,Purdue,Minnesota,13,41,10/10/2015,-3,W,85.5,Visitor,2015-16,Regular
Play On California,Utah,California,30,24,10/10/2015,7.5,W,87,Visitor,2015-16,Regular
Play On Portland State,North Texas,Portland State,7,66,10/10/2015,-3.5,W,87,Visitor,2015-16,Regular
Play On Connecticut,Central Florida,Connecticut,13,40,10/10/2015,-1.5,W,89.3,Visitor,2015-16,Regular
Play On Virginia,Pittsburgh,Virginia,26,19,10/10/2015,8,W,89.3,Visitor,2015-16,Regular
Play On San Diego State,Hawaii,San Diego State,14,28,10/10/2015,0,W,90.9,Visitor,2015-16,Regular
Play On Boise State,Colorado State,Boise State,10,41,10/10/2015,-14.5,W,92.6,Visitor,2015-16,Regular
Play On Troy,Mississippi St,Troy,45,17,10/10/2015,31.5,W,94.3,Visitor,2015-16,Regular
Play On Washington State,Oregon,Washington State,38,45,10/10/2015,15.5,W,94.3,Visitor,2015-16,Regular
Play On Baylor,Kansas,Baylor,7,66,10/10/2015,-46,W,94.3,Visitor,2015-16,Regular
Play On Texas,Texas,Oklahoma,24,17,10/10/2015,15,W,94.3,Neutral,2015-16,Regular
Play On East Carolina,BYU,East Carolina,45,38,10/10/2015,10,W,94.3,Visitor,2015-16,Regular
Play On Maryland,Ohio State,Maryland,49,28,10/10/2015,31.5,W,94.3,Visitor,2015-16,Regular
Play On Central Michigan,Western Michigan,Central Michigan,41,39,10/10/2015,5,W,94.3,Visitor,2015-16,Regular
Play On Appalachian St,Georgia State,Appalachian St,3,37,10/10/2015,-14.5,W,94.3,Visitor,2015-16,Regular
Play On Illinois,Iowa,Illinois,29,20,10/10/2015,10.5,W,94.3,Visitor,2015-16,Regular
Play On Duke,Army,Duke,3,44,10/10/2015,-14,W,94.3,Visitor,2015-16,Regular
Play On Akron,Eastern Michigan,Akron,21,47,10/10/2015,-8.5,W,94.3,Visitor,2015-16,Regular
Play On Utah State,Fresno State,Utah State,14,56,10/10/2015,-12,W,94.3,Visitor,2015-16,Regular
Play On Oklahoma State,West Virginia,Oklahoma State,26,33,10/10/2015,5,W,94.3,Visitor,2015-16,Regular
Play On Wyoming,Air Force,Wyoming,31,17,10/10/2015,21,W,95.2,Visitor,2015-16,Regular
Play On Miami Florida,Florida State,Miami Florida,29,24,10/10/2015,6.5,W,96.2,Visitor,2015-16,Regular
Play On San Jose State,UNLV,San Jose State,27,33,10/10/2015,-3.5,W,96.2,Visitor,2015-16,Regular
Play On Rice,Florida Atlantic,Rice,26,27,10/10/2015,4,W,97.1,Visitor,2015-16,Regular
Play On Wake Forest,Boston College,Wake Forest,0,3,10/10/2015,9.5,W,98,Visitor,2015-16,Regular
Play On Florida,Missouri,Florida,3,21,10/10/2015,-6.5,W,98,Visitor,2015-16,Regular
Play On Arkansas,Alabama,Arkansas,27,14,10/10/2015,15,W,99,Visitor,2015-16,Regular
Play On Arkansas State,South Alabama,Arkansas State,31,49,10/13/2015,-3.5,W,90.9,Visitor,2015-16,Regular
Play On Western Kentucky,North Texas,Western Kentucky,28,55,10/15/2015,-34.5,L,-100,Visitor,2015-16,Regular
Play On UCLA,Stanford,UCLA,56,35,10/15/2015,6.5,L,-100,Visitor,2015-16,Regular
Play On Auburn,Kentucky,Auburn,27,30,10/15/2015,-2,W,98,Visitor,2015-16,Regular
Play On Cincinnati,BYU,Cincinnati,38,24,10/16/2015,4.5,L,-100,Visitor,2015-16,Regular
Play On Boise State,Utah State,Boise State,52,26,10/16/2015,-7.5,L,-100,Visitor,2015-16,Regular
Play On UNLV,Fresno State,UNLV,31,28,10/16/2015,-5,L,-100,Visitor,2015-16,Regular
Play On Houston,Tulane,Houston,7,42,10/16/2015,-21,W,94.3,Visitor,2015-16,Regular
Play On Nevada,Wyoming,Nevada,28,21,10/17/2015,-6.5,L,-100,Visitor,2015-16,Regular
Play On Eastern Michigan,Toledo,Eastern Michigan,63,20,10/17/2015,28,L,-100,Visitor,2015-16,Regular
Play On Arizona State,Utah,Arizona State,34,18,10/17/2015,4.5,L,-100,Visitor,2015-16,Regular
Play On West Virginia,Baylor,West Virginia,62,38,10/17/2015,20.5,L,-100,Visitor,2015-16,Regular
Play On Louisville,Florida State,Louisville,41,21,10/17/2015,6.5,L,-100,Visitor,2015-16,Regular
Play On Virginia Tech,Miami Florida,Virginia Tech,30,20,10/17/2015,3,L,-100,Visitor,2015-16,Regular
Play On Wake Forest,North Carolina,Wake Forest,50,14,10/17/2015,17,L,-100,Visitor,2015-16,Regular
Play On Florida,LSU,Florida,35,28,10/17/2015,6,L,-100,Visitor,2015-16,Regular
Play On Mississippi,Memphis,Mississippi,37,24,10/17/2015,-10,L,-100,Visitor,2015-16,Regular
Play On Louisiana Tech,Mississippi St,Louisiana Tech,45,20,10/17/2015,11,L,-100,Visitor,2015-16,Regular
Play On Vanderbilt,South Carolina,Vanderbilt,19,10,10/17/2015,2,L,-100,Visitor,2015-16,Regular
Play On Buffalo,Central Michigan,Buffalo,51,14,10/17/2015,7,L,-100,Visitor,2015-16,Regular
Play On Akron,Bowling Green,Akron,59,10,10/17/2015,12.5,L,-100,Visitor,2015-16,Regular
Play On Air Force,Colorado State,Air Force,38,23,10/17/2015,-3.5,L,-100,Visitor,2015-16,Regular
Play On UTSA,Southern Miss,UTSA,32,10,10/17/2015,7.5,L,-100,Visitor,2015-16,Regular
Play On USC,Notre Dame,USC,41,31,10/17/2015,6,L,-100,Visitor,2015-16,Regular
Play On Penn State,Ohio State,Penn State,38,10,10/17/2015,18.5,L,-100,Visitor,2015-16,Regular
Play On Texas Tech,Kansas,Texas Tech,20,30,10/17/2015,-33,L,-100,Visitor,2015-16,Regular
Play On Oregon State,Washington State,Oregon State,52,31,10/17/2015,7.5,L,-100,Visitor,2015-16,Regular
Play On Pittsburgh,Georgia Tech,Pittsburgh,28,31,10/17/2015,3,W,86.2,Visitor,2015-16,Regular
Play On Western Michigan,Ohio,Western Michigan,14,49,10/17/2015,3.5,W,87.7,Visitor,2015-16,Regular
Play On Marshall,Florida Atlantic,Marshall,17,33,10/17/2015,-3,W,87.7,Visitor,2015-16,Regular
Play On Northern Illinois,Miami Ohio,Northern Illinois,12,45,10/17/2015,-17.5,W,87.7,Visitor,2015-16,Regular
Play On Kent,Massachusetts,Kent,10,15,10/17/2015,7,W,87.7,Visitor,2015-16,Regular
Play On Idaho,Troy,Idaho,16,19,10/17/2015,10,W,89.3,Visitor,2015-16,Regular
Play On Georgia State,Ball State,Georgia State,19,31,10/17/2015,14,W,89.3,Visitor,2015-16,Regular
Play On Boston College,Clemson,Boston College,34,17,10/17/2015,18,W,89.3,Visitor,2015-16,Regular
Play On South Florida,Connecticut,South Florida,20,28,10/17/2015,0,W,90.1,Visitor,2015-16,Regular
Play On Bucknell,Army,Bucknell,21,14,10/17/2015,26.5,W,90.9,Visitor,2015-16,Regular
Play On New Mexico State,Georgia Southern,New Mexico State,56,26,10/17/2015,31,W,90.9,Visitor,2015-16,Regular
Play On Central Florida,Temple,Central Florida,30,16,10/17/2015,20.5,W,90.9,Visitor,2015-16,Regular
Play On Charlotte U,Old Dominion,Charlotte U,37,34,10/17/2015,4.5,W,92.6,Visitor,2015-16,Regular
Play On Hawaii,New Mexico,Hawaii,28,27,10/17/2015,4,W,92.6,Visitor,2015-16,Regular
Play On Oklahoma,Kansas State,Oklahoma,0,55,10/17/2015,-3.5,W,94.3,Visitor,2015-16,Regular
Play On Missouri,Georgia,Missouri,9,6,10/17/2015,14.5,W,94.3,Visitor,2015-16,Regular
Play On Oregon,Washington,Oregon,20,26,10/17/2015,3,W,94.3,Visitor,2015-16,Regular
Play On Appalachian St,UL Monroe,Appalachian St,14,59,10/17/2015,-14,W,94.3,Visitor,2015-16,Regular
Play On Alabama,Texas A&M,Alabama,23,41,10/17/2015,-5,W,95.2,Visitor,2015-16,Regular
Play On TCU,Iowa State,TCU,21,45,10/17/2015,-20.5,W,96.2,Visitor,2015-16,Regular
Play On Michigan State,Michigan,Michigan State,23,27,10/17/2015,7.5,W,96.2,Visitor,2015-16,Regular
Play On Iowa,Northwestern,Iowa,10,40,10/17/2015,-2,W,96.2,Visitor,2015-16,Regular
Play On Florida Intl,Middle Tenn St,Florida Intl,42,34,10/17/2015,10.5,W,96.2,Visitor,2015-16,Regular
Play On Arizona,Colorado,Arizona,31,38,10/17/2015,-6,W,96.2,Visitor,2015-16,Regular
Play On Nebraska,Minnesota,Nebraska,25,48,10/17/2015,0,W,98,Visitor,2015-16,Regular
Play On San Diego State,San Jose State,San Diego State,7,30,10/17/2015,2.5,W,99,Visitor,2015-16,Regular
Play On Rutgers,Indiana,Rutgers,52,55,10/17/2015,6.5,W,99,Visitor,2015-16,Regular
Play On Syracuse,Virginia,Syracuse,44,38,10/17/2015,7,W,100,Visitor,2015-16,Regular
Play On Tulsa,East Carolina,Tulsa,30,17,10/17/2015,14,W,100,Visitor,2015-16,Regular
Play On Purdue,Wisconsin,Purdue,24,7,10/17/2015,21.5,W,102,Visitor,2015-16,Regular
Play On UL Lafayette,Arkansas State,UL Lafayette,37,27,10/20/2015,6.5,L,-100,Visitor,2015-16,Regular
Play On Georgia Southern,Appalachian St,Georgia Southern,31,13,10/22/2015,6,L,-100,Visitor,2015-16,Regular
Play On California,UCLA,California,40,24,10/22/2015,3.5,L,-100,Visitor,2015-16,Regular
Play On Temple,East Carolina,Temple,14,24,10/22/2015,3,W,86.2,Visitor,2015-16,Regular
Play On Utah State,San Diego State,Utah State,48,14,10/23/2015,-4,L,-100,Visitor,2015-16,Regular
Play On Memphis,Tulsa,Memphis,42,66,10/23/2015,-9.5,W,94.3,Visitor,2015-16,Regular
Play On Connecticut,Cincinnati,Connecticut,37,13,10/24/2015,10.5,L,-100,Visitor,2015-16,Regular
Play On South Alabama,Texas State,South Alabama,36,18,10/24/2015,-2,L,-100,Visitor,2015-16,Regular
Play On Utah,USC,Utah,42,24,10/24/2015,6.5,L,-100,Visitor,2015-16,Regular
Play On Washington,Stanford,Washington,31,14,10/24/2015,14.5,L,-100,Visitor,2015-16,Regular
Play On SMU,South Florida,SMU,38,14,10/24/2015,12,L,-100,Visitor,2015-16,Regular
Play On Fresno State,Air Force,Fresno State,42,14,10/24/2015,16.5,L,-100,Visitor,2015-16,Regular
Play On Texas Tech,Oklahoma,Texas Tech,63,27,10/24/2015,14.5,L,-100,Visitor,2015-16,Regular
Play On Kansas State,Texas,Kansas State,23,9,10/24/2015,7,L,-100,Visitor,2015-16,Regular
Play On Auburn,Arkansas,Auburn,54,46,10/24/2015,7,L,-100,Visitor,2015-16,Regular
Play On Western Kentucky,LSU,Western Kentucky,48,20,10/24/2015,16,L,-100,Visitor,2015-16,Regular
Play On Kentucky,Mississippi St,Kentucky,42,16,10/24/2015,13,L,-100,Visitor,2015-16,Regular
Play On Missouri,Vanderbilt,Missouri,10,3,10/24/2015,-1.5,L,-100,Visitor,2015-16,Regular
Play On Pittsburgh,Syracuse,Pittsburgh,20,23,10/24/2015,-9.5,L,-100,Visitor,2015-16,Regular
Play On Penn State,Maryland,Penn State,30,31,10/24/2015,-6,L,-100,Neutral,2015-16,Regular
Play On Indiana,Michigan State,Indiana,52,26,10/24/2015,14.5,L,-100,Visitor,2015-16,Regular
Play On Ohio,Buffalo,Ohio,41,17,10/24/2015,-3,L,-100,Visitor,2015-16,Regular
Play On Central Michigan,Ball State,Central Michigan,21,23,10/24/2015,-7,L,-100,Visitor,2015-16,Regular
Play On Wagner,BYU,Wagner,70,6,10/24/2015,51,L,-100,Visitor,2015-16,Regular
Play On Middle Tenn St,Louisiana Tech,Middle Tenn St,45,16,10/24/2015,7,L,-100,Visitor,2015-16,Regular
Play On Hawaii,Nevada,Hawaii,30,20,10/24/2015,7.5,L,-100,Visitor,2015-16,Regular
