Play,Home Team,Visitor Team,Home Score,Visitor Score,Event Date,Odds,Result,Units Won,Home / Visitor,Season,Season Type
Play On Eastern Kentucky,NC State,Eastern Kentucky,35,0,9/12/2015,23.5,L,-100,Visitor,2015-16,Regular
Play On Army,Connecticut,Army,22,17,9/12/2015,7,W,84,Visitor,2015-16,Regular
Play On East Carolina,Florida,East Carolina,31,24,9/12/2015,20.5,W,85.5,Visitor,2015-16,Regular
Play On Buffalo,Penn State,Buffalo,27,14,9/12/2015,17,W,87.7,Visitor,2015-16,Regular
Play On Oregon,Michigan State,Oregon,31,28,9/12/2015,5,W,87.7,Visitor,2015-16,Regular
Play On Arizona,Nevada,Arizona,20,44,9/12/2015,-9.5,W,89.3,Visitor,2015-16,Regular
Play On Kentucky,South Carolina,Kentucky,22,26,9/12/2015,7,W,89.3,Visitor,2015-16,Regular
Play On Houston,Louisville,Houston,31,34,9/12/2015,13.5,W,90.9,Visitor,2015-16,Regular
Play On Temple,Cincinnati,Temple,26,34,9/12/2015,6,W,90.9,Visitor,2015-16,Regular
Play On Jacksonville State,Auburn,Jacksonville State,27,20,9/12/2015,39,W,90.9,Visitor,2015-16,Regular
Play On Liberty,West Virginia,Liberty,41,17,9/12/2015,32,W,90.9,Visitor,2015-16,Regular
Play On Norfolk State,Old Dominion,Norfolk State,24,10,9/12/2015,24,W,90.9,Visitor,2015-16,Regular
Play On Lamar,Baylor,Lamar,66,31,9/12/2015,56.5,W,90.9,Visitor,2015-16,Regular
Play On Central Arkansas,Oklahoma State,Central Arkansas,32,8,9/12/2015,37,W,90.9,Visitor,2015-16,Regular
Play On Cal Poly,Arizona State,Cal Poly,35,21,9/12/2015,35.5,W,90.9,Visitor,2015-16,Regular
Play On Rice,Texas,Rice,42,28,9/12/2015,14.5,W,91.7,Visitor,2015-16,Regular
Play On South Florida,Florida State,South Florida,34,14,9/12/2015,28.5,W,92.6,Visitor,2015-16,Regular
Play On Hawaii,Ohio State,Hawaii,38,0,9/12/2015,42.5,W,94.3,Visitor,2015-16,Regular
Play On Eastern Michigan,Wyoming,Eastern Michigan,29,48,9/12/2015,11,W,94.3,Visitor,2015-16,Regular
Play On Middle Tenn St,Alabama,Middle Tenn St,37,10,9/12/2015,34.5,W,94.3,Visitor,2015-16,Regular
Play On Pittsburgh,Akron,Pittsburgh,7,24,9/12/2015,-11.5,W,94.3,Visitor,2015-16,Regular
Play On Washington State,Rutgers,Washington State,34,37,9/12/2015,5,W,94.3,Visitor,2015-16,Regular
Play On Oklahoma,Tennessee,Oklahoma,24,31,9/12/2015,-2.5,W,94.3,Visitor,2015-16,Regular
Play On Tulsa,New Mexico,Tulsa,21,40,9/12/2015,6.5,W,94.3,Visitor,2015-16,Regular
Play On UCLA,UNLV,UCLA,3,37,9/12/2015,-32,W,94.3,Visitor,2015-16,Regular
Play On Kansas State,UTSA,Kansas State,3,30,9/12/2015,-14,W,98,Visitor,2015-16,Regular
Play On Toledo,Arkansas,Toledo,12,16,9/12/2015,22.5,W,98,Neutral,2015-16,Regular
Play On Georgia State,New Mexico State,Georgia State,32,34,9/12/2015,4.5,W,100,Visitor,2015-16,Regular
